date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-02-13,sh.600000,9.7682743600,9.8224422400,9.7141064800,9.7141064800,9.8043862800,22630613,244794981.0000,2,0.080500,1,-0.920800,5.361111,1.656257,-5.239269,0.657752,0
2020-02-14,sh.600000,9.7141064800,9.8224422400,9.6960505200,9.8043862800,9.7141064800,22360549,242102421.0000,2,0.079600,1,0.929400,5.410935,1.671650,-5.287961,0.663865,0
2020-02-17,sh.600000,9.8224422400,10.1203655800,9.8043862800,10.0932816400,9.8043862800,41343320,457641227.0000,2,0.147100,1,2.946600,5.570373,1.720907,-5.443776,0.683427,0
2020-02-18,sh.600000,10.0120298200,10.0932816400,9.9668899200,9.9849458800,10.0932816400,30162703,334474238.0000,2,0.107300,1,-1.073300,5.510584,1.702435,-5.385345,0.676091,0
2020-02-19,sh.600000,10.0030018400,10.1474495200,9.9668899200,10.0300857800,9.9849458800,25100157,279375283.0000,2,0.089300,1,0.452100,5.510584,1.702435,-5.385345,0.676091,0
2020-02-20,sh.600000,10.0842536600,10.1745334600,9.9849458800,10.1384215400,10.0300857800,36656416,408938116.0000,2,0.130400,1,1.080100,5.595285,1.728603,-5.468122,0.686483,0
2020-02-21,sh.600000,10.1384215400,10.2828692200,10.1203655800,10.2016174000,10.1384215400,38949418,439706991.0000,2,0.138600,1,0.623300,5.630163,1.739378,-5.502206,0.690762,0
2020-02-24,sh.600000,10.1384215400,10.2377293200,10.0210578000,10.0752256800,10.2016174000,44738622,501186013.0000,2,0.159200,1,-1.238900,5.560408,1.717828,-5.434038,0.682204,0
2020-02-25,sh.600000,9.9939738600,10.0661977000,9.9398059800,10.0120298200,10.0752256800,48324564,535241824.0000,2,0.172000,1,-0.627200,5.525531,1.707053,-5.399953,0.677925,0
2020-02-26,sh.600000,9.9398059800,10.2287013400,9.9398059800,10.1113376000,10.0120298200,51906287,581437742.0000,2,0.184700,1,0.991900,5.580338,1.723985,-5.453514,0.684649,0
2020-02-27,sh.600000,10.1113376000,10.2016174000,10.0481417400,10.1203655800,10.1113376000,33029824,370549707.0000,2,0.117500,1,0.089300,5.585321,1.725525,-5.458384,0.685261,0
2020-02-28,sh.600000,10.0300857800,10.0932816400,9.7953583000,9.7953583000,10.1203655800,50137988,550529618.0000,2,0.178400,1,-3.211400,5.405953,1.670111,-5.283092,0.663254,0
2020-03-02,sh.600000,9.8856381000,10.0210578000,9.8585541600,9.9668899200,9.7953583000,39245056,432698824.0000,2,0.139600,1,1.751100,5.500619,1.699357,-5.375607,0.674869,0
2020-03-03,sh.600000,10.0481417400,10.1384215400,9.9668899200,9.9849458800,9.9668899200,39332460,437422565.0000,2,0.140000,1,0.181200,5.510584,1.702435,-5.385345,0.676091,0
2020-03-04,sh.600000,9.9398059800,10.0210578000,9.8856381000,9.9578619400,9.9849458800,34628358,381014627.0000,2,0.123200,1,-0.271300,5.495637,1.697818,-5.370738,0.674257,0
2020-03-05,sh.600000,10.0030018400,10.2196733600,9.9578619400,10.2196733600,9.9578619400,73047882,819311470.0000,2,0.259900,1,2.629200,5.640127,1.742457,-5.511945,0.691985,0
2020-03-06,sh.600000,10.1384215400,10.1835614400,10.0300857800,10.0391137600,10.2196733600,41587820,464404003.0000,2,0.148000,1,-1.766800,5.540479,1.711671,-5.414561,0.679759,0
2020-03-09,sh.600000,9.9307780000,9.9307780000,9.7050785000,9.7321624400,10.0391137600,59495242,644379973.0000,2,0.211700,1,-3.057600,5.371075,1.659336,-5.249008,0.658975,0
2020-03-10,sh.600000,9.6689665800,9.8946660800,9.6599386000,9.8134142600,9.7321624400,44761737,485896696.0000,2,0.159300,1,0.834900,5.415917,1.673189,-5.292830,0.664477,0
2020-03-11,sh.600000,9.8675821400,9.8675821400,9.7231344600,9.7231344600,9.8134142600,31688826,343734180.0000,2,0.112800,1,-0.920000,5.366093,1.657797,-5.244138,0.658364,0
2020-03-12,sh.600000,9.7050785000,9.7050785000,9.5786867800,9.6057707200,9.7231344600,32632350,348157969.0000,2,0.116100,1,-1.207100,5.301321,1.637786,-5.180839,0.650417,0
2020-03-13,sh.600000,9.3890992000,9.6870225400,9.2807634400,9.6599386000,9.6057707200,57457109,603756305.0000,2,0.204400,1,0.563900,5.331216,1.647022,-5.210054,0.654085,0
2020-03-16,sh.600000,9.6599386000,9.7321624400,9.4793790000,9.4884069800,9.6599386000,47649924,507308318.0000,2,0.169500,1,-1.775700,5.236549,1.617775,-5.117539,0.642470,0
2020-03-17,sh.600000,9.6418826400,9.6509106200,9.2897914200,9.4161831400,9.4884069800,42139008,440636619.0000,2,0.149900,1,-0.761200,5.196690,1.605461,-5.078585,0.637580,0
2020-03-18,sh.600000,9.3890992000,9.4793790000,9.2085396000,9.2175675800,9.4161831400,33176646,343553119.0000,2,0.118100,1,-2.109300,5.087076,1.571597,-4.971463,0.624131,0
2020-03-19,sh.600000,9.1995116200,9.3349313200,8.9015882800,8.9738121200,9.2175675800,55707113,558047012.0000,2,0.198200,1,-2.644500,4.952550,1.530037,-4.839994,0.607626,0
2020-03-20,sh.600000,9.1363157600,9.1904836400,8.9918680800,9.1092318200,8.9738121200,42609358,428744766.0000,2,0.151600,1,1.509100,5.027287,1.553126,-4.913032,0.616796,0
2020-03-23,sh.600000,8.9828401000,8.9828401000,8.8654763600,8.8835323200,9.1092318200,28286030,279043930.0000,2,0.100600,1,-2.477700,4.902726,1.514644,-4.791302,0.601513,0
2020-03-24,sh.600000,9.0550639400,9.1453437400,9.0099240400,9.0821478800,8.8835323200,28990754,291586379.0000,2,0.103200,1,2.235800,5.012339,1.548508,-4.898425,0.614962,0
2020-03-25,sh.600000,9.2085396000,9.2717354600,9.1363157600,9.1633997000,9.0821478800,32172278,327768574.0000,2,0.114500,1,0.894600,5.057181,1.562362,-4.942247,0.620463,0
2020-03-26,sh.600000,9.1182598000,9.3620152600,9.1002038400,9.2356235400,9.1633997000,30921803,315960382.0000,2,0.110000,1,0.788200,5.097041,1.574676,-4.981201,0.625354,0
2020-03-27,sh.600000,9.3439593000,9.3710432400,9.2085396000,9.2446515200,9.2356235400,27107951,278718751.0000,2,0.096500,1,0.097800,5.102023,1.576215,-4.986070,0.625965,0
2020-03-30,sh.600000,9.1904836400,9.2807634400,9.1272877800,9.2807634400,9.2446515200,26046018,265782024.0000,2,0.092700,1,0.390600,5.121953,1.582372,-5.005547,0.628410,0
2020-03-31,sh.600000,9.2988194000,9.3529872800,9.1453437400,9.1633997000,9.2807634400,26144854,267681227.0000,2,0.093000,1,-1.264600,5.057181,1.562362,-4.942247,0.620463,0
